step:13200 learning_rate= 0.005498 ctc_loss= 0.103138 sequence_distance= 0.000000 train_accuracy= 1.000000
step:13300 learning_rate= 0.005498 ctc_loss= 0.154428 sequence_distance= 0.031250 train_accuracy= 0.968750
step:13400 learning_rate= 0.005498 ctc_loss= 0.294397 sequence_distance= 0.018182 train_accuracy= 0.981818
step:13500 learning_rate= 0.005498 ctc_loss= 0.423079 sequence_distance= 0.015625 train_accuracy= 0.984375
step:13600 learning_rate= 0.005498 ctc_loss= 0.095656 sequence_distance= 0.012500 train_accuracy= 0.987500
step:13700 learning_rate= 0.005498 ctc_loss= 0.513470 sequence_distance= 0.014062 train_accuracy= 0.979688
step:13800 learning_rate= 0.005498 ctc_loss= 0.246538 sequence_distance= 0.008929 train_accuracy= 0.991071
step:13900 learning_rate= 0.005498 ctc_loss= 0.309835 sequence_distance= 0.020833 train_accuracy= 0.979167
step:14000 learning_rate= 0.005498 ctc_loss= 0.413124 sequence_distance= 0.019345 train_accuracy= 0.980655
step:14100 learning_rate= 0.004398 ctc_loss= 0.398820 sequence_distance= 0.010417 train_accuracy= 0.989583
step:14200 learning_rate= 0.004398 ctc_loss= 0.332814 sequence_distance= 0.009615 train_accuracy= 0.990385
step:14300 learning_rate= 0.004398 ctc_loss= 0.018511 sequence_distance= 0.000000 train_accuracy= 1.000000
step:14400 learning_rate= 0.004398 ctc_loss= 0.210897 sequence_distance= 0.062500 train_accuracy= 0.937500
step:14500 learning_rate= 0.004398 ctc_loss= 0.233364 sequence_distance= 0.006250 train_accuracy= 0.993750
step:14600 learning_rate= 0.004398 ctc_loss= 0.061443 sequence_distance= 0.000000 train_accuracy= 1.000000
step:14700 learning_rate= 0.004398 ctc_loss= 0.309126 sequence_distance= 0.062500 train_accuracy= 0.937500
step:14800 learning_rate= 0.004398 ctc_loss= 0.416869 sequence_distance= 0.015625 train_accuracy= 0.984375
step:14900 learning_rate= 0.004398 ctc_loss= 0.064206 sequence_distance= 0.000000 train_accuracy= 1.000000
